,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,times_tamp
0,1,Bitcoin,BTC,bitcoin,10690,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19588100.0,19588100.0,False,,1,,,,2024-01-03T05:19:00.000Z,45273.2259596167,31797925017.00955,19.6011,0.04577404,-0.04750985,6.87250696,9.81319167,30.7556335,63.54128735,886816477419.5679,51.0954,950737745151.95,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
1,1027,Ethereum,ETH,ethereum,8166,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120185495.51593144,120185495.51593144,True,,2,,,,2024-01-03T05:19:00.000Z,2375.728916711541,11615936185.124496,35.0061,0.18339044,-0.59892349,6.863688,5.87987152,30.00720787,44.44934156,285528157066.50354,16.4512,285528157066.5,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
2,825,Tether USDt,USDT,tether,70376,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,92047993063.19923,94603058344.82516,True,,3,,,,2024-01-03T05:19:00.000Z,1.000303728251304,52220804818.78937,20.9722,-0.01117836,-0.0492901,0.01632127,0.03084189,-0.02673767,0.01914004,92075950639.16837,5.3051,94631791966.3,,2024-01-03T05:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-03 05:22:08.845
3,1839,BNB,BNB,bnb,1968,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151691813.11184895,151691813.11184895,False,,4,,,,2024-01-03T05:19:00.000Z,315.21983206887705,1027465363.0165696,3.5857,0.35982819,-1.13342453,8.64035607,37.45881785,36.87011584,48.04206835,47816267855.34051,2.755,47816267855.34,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
4,5426,Solana,SOL,solana,610,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,430016298.5941248,566218620.5304705,True,,5,,,,2024-01-03T05:19:00.000Z,108.73465446052772,3326862837.961125,24.8266,0.76364072,-3.69512362,-1.96852785,67.3953958,167.95931205,365.38190576,46757673640.027275,2.694,61567586052.5,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
5,52,XRP,XRP,xrp,1194,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54125149173.0,99988100379.0,False,,6,,,,2024-01-03T05:19:00.000Z,0.6371899763433282,1319096452.5219636,62.9855,1.42271625,0.3920966,2.60938254,0.80884951,4.17042253,20.65273289,34488002521.12298,1.9871,63718997634.33,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
6,3408,USDC,USDC,usd-coin,15936,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24790788823.107887,24790788823.107887,False,,7,,,,2024-01-03T05:19:00.000Z,1.0000238045495808,6340869071.052688,35.3256,0.00045981,-0.00452186,-0.01094327,0.01546519,-0.01984289,-0.00039582,24791378956.669575,1.4284,24791378956.67,,2024-01-03T05:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-03 05:22:08.845
7,2010,Cardano,ADA,cardano,1018,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35367312467.919,36498916808.907,False,,8,,,,2024-01-03T05:19:00.000Z,0.6138975286781945,551091452.6185584,18.5095,0.32008315,-2.36740527,2.80627395,50.36793508,88.44502642,137.61594468,21711905720.044968,1.251,27625388790.52,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
8,5805,Avalanche,AVAX,avalanche,628,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366382488.80281866,434415398.80281866,False,,9,,,,2024-01-03T05:19:00.000Z,40.885719272424765,764172999.5196986,-1.3515,0.12858548,-3.74021591,-6.37219596,82.27287113,239.32258685,308.3348089,14979811583.524353,0.8631,29437717876.15,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
9,74,Dogecoin,DOGE,dogecoin,863,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142495896383.70526,142495896383.70526,True,,10,,,,2024-01-03T05:19:00.000Z,0.09170754730049262,454683570.8864823,33.3459,0.10148525,-1.5936906,1.00347481,3.51677407,33.98717564,49.90179266,13067949157.734745,0.7529,13067949157.73,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
10,6636,Polkadot,DOT,polkadot-new,657,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1263448804.362918,1395709306.0712695,True,,11,,,,2024-01-03T05:19:00.000Z,8.507886247080963,313319367.81303626,17.6934,0.37291301,-2.1192768,-1.10369427,50.6602132,84.14743486,110.16392736,10749278706.530155,0.6193,11874536010.05,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
11,1958,TRON,TRX,tron,894,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88309832858.25214,88309846753.59267,True,,12,71659659264.0,7839882349.898916,,2024-01-03T05:19:00.000Z,0.10940440452020786,272690995.9934668,31.3137,-0.34406469,0.91205331,6.4436516,5.34161463,12.4981901,22.43409394,9661484677.13616,0.5567,9661486197.35,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
12,3890,Polygon,MATIC,polygon,1219,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9555244231.123314,10000000000.0,False,,13,,,,2024-01-03T05:19:00.000Z,0.9824589674018139,529315900.8938425,12.6209,0.08363668,-3.61150355,-2.87288331,18.30474496,47.67969781,74.83340474,9387635380.58155,0.5409,9824589674.02,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
13,1975,Chainlink,LINK,chainlink,1545,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,14,,,,2024-01-03T05:19:00.000Z,15.395095478567448,432517059.4728491,12.9215,0.39528532,-2.854817,3.61523962,-4.72626819,36.59181431,100.68695537,8745953286.491997,0.5039,15395095478.57,,2024-01-03T05:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-03 05:22:08.845
14,11419,Toncoin,TON,toncoin,185,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3455988050.256379,5100523634.036675,True,,15,3414166606.0,7779368402.512414,,2024-01-03T05:19:00.000Z,2.2785555891856832,64183117.04060996,65.4186,-0.23023517,-3.48973846,5.79585193,-7.22503291,0.55589051,15.6140899,7874660888.070604,0.4537,11621826634.11,,2024-01-03T05:19:00.000Z,,,,,,2024-01-03 05:22:08.845
0,1,Bitcoin,BTC,bitcoin,10690,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19588100.0,19588100.0,False,,1,,,,2024-01-03T05:21:00.000Z,45264.11241606067,31798919513.216846,19.5785,-0.00882035,-0.0855584,6.809438,9.61261645,30.68252551,63.52902395,886637960417.038,51.0851,950546360737.27,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
1,1027,Ethereum,ETH,ethereum,8166,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120185495.51593144,120185495.51593144,True,,2,,,,2024-01-03T05:21:00.000Z,2375.656284465796,11624229107.971138,35.0917,0.19166524,-0.65826574,6.84846978,5.59963026,29.94856521,44.46342046,285519427724.0583,16.436,285519427724.06,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
2,825,Tether USDt,USDT,tether,70376,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,92047993063.19923,94603058344.82516,True,,3,,,,2024-01-03T05:21:00.000Z,1.0007590898466612,52221223370.77482,20.9485,0.03251878,-0.00122372,0.06449186,0.09435215,0.02102733,0.05948593,92117865760.13905,5.3028,94674870565.88,,2024-01-03T05:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-03 05:22:39.567819
3,1839,BNB,BNB,bnb,1968,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151691813.11184895,151691813.11184895,False,,4,,,,2024-01-03T05:21:00.000Z,315.20060776357,1027790339.404853,3.6208,0.34163071,-1.1325426,8.64330283,37.44679299,36.8553345,48.03748484,47813351685.61267,2.7524,47813351685.61,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
4,5426,Solana,SOL,solana,610,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,430016298.5941248,566218620.5304705,True,,5,,,,2024-01-03T05:21:00.000Z,108.68434175392709,3326958508.1577177,24.6916,0.64265037,-3.75705701,-2.00488555,67.24875693,167.99861629,365.26180711,46736038356.16261,2.6904,61539098061.17,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
5,52,XRP,XRP,xrp,1194,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54125149173.0,99988100379.0,False,,6,,,,2024-01-03T05:21:00.000Z,0.6372238384559676,1327133940.6814969,63.9586,1.42512755,0.40435487,2.6179675,0.79984866,4.17318372,20.67482707,34489835313.020905,1.9872,63722383845.6,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
6,3408,USDC,USDC,usd-coin,15936,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24790788823.107887,24790788823.107887,False,,7,,,,2024-01-03T05:21:00.000Z,1.0002450719433944,6341982853.133998,35.1982,0.01648089,0.02490601,0.01399349,0.06037049,0.00250861,0.01581374,24796864349.903046,1.4287,24796864349.9,,2024-01-03T05:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-03 05:22:39.567819
7,2010,Cardano,ADA,cardano,1018,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35367312467.919,36498916808.907,False,,8,,,,2024-01-03T05:21:00.000Z,0.6140552213210259,551012846.9226321,18.5159,0.34295687,-2.31875955,2.85140297,50.41562349,88.49338992,137.68465819,21717482885.01788,1.2502,27632484959.45,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
8,5805,Avalanche,AVAX,avalanche,628,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366382488.80281866,434415398.80281866,False,,9,,,,2024-01-03T05:21:00.000Z,40.88427612628187,763156375.9084296,-1.4813,0.11852024,-3.72686195,-6.37707271,82.24154321,239.37583813,308.15041298,14979282840.048813,0.8631,29436678810.92,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
9,74,Dogecoin,DOGE,dogecoin,863,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142495896383.70526,142495896383.70526,True,,10,,,,2024-01-03T05:21:00.000Z,0.09170917020071796,454517941.9669062,33.2213,0.1024395,-1.58516004,1.01859918,3.51980003,33.99246641,49.88609889,13068180414.357098,0.7523,13068180414.36,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
10,6636,Polkadot,DOT,polkadot-new,657,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1263448804.362918,1395709306.0712695,True,,11,,,,2024-01-03T05:21:00.000Z,8.509146472694214,313356552.80434144,17.6523,0.3684065,-2.10028356,-1.06926053,50.6786924,84.16991085,110.21979516,10750870937.074444,0.6194,11876294918.66,,2024-01-03T05:21:00.000Z,,,,,,2024-01-03 05:22:39.567819
